lat,lon,SERVICE_TYPE,SERVICE_TYPE_DETAIL,ENGLISH_NAME,ADDRESS_LINE_1
43.6842398,-79.4190886,Pharmacy,Retail Pharmacy,Bathurst Care Pharmacy,4-1500 Bathurst Street
43.7847322,-79.4717046,Pharmacy,Retail Pharmacy,Loblaw Pharmacy #1033,51 Gerry Fitzgerald Drive
43.725435,-79.3189358,Seniors Active Living Centre,,Latvian Senior Citizens Association,4 Credit Union Drive
43.645899,-79.387819,Pharmacy,Retail Pharmacy,Rexall #836,200-200 Wellingston Street West
43.6393387,-79.4459746,Pharmacy,Retail Pharmacy,B&A Medical Pharmacy,15 Roncesvalles Avenue
43.6096642,-79.5613536,Hospital,Site,Trillium Health Partners- Queensway,150 Sherway Drive
43.7882342,-79.2400685,Licensed Retirement Home,,Sts. Peter And Paul Residence,221 Milner Avenue
43.6368314,-79.4366766,Pharmacy,Retail Pharmacy,Parkdale Pharmacy,1439 King Street West
43.6575078,-79.4034113,Community Health Centre,Main,Access Alliance Multicultural Health And Community Services Downtown,340 College Street
43.7186144,-79.4298694,Pharmacy,Retail Pharmacy,R Meds Pharmacy,3040 Bathurst Street
43.7483659,-79.5160667,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,2780 Jane Street
43.7686936,-79.4123429,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1250,C2-5095 Yonge Street
43.6976631,-79.3960965,Integrated Community Health Services Centre,"General Ultrasound, Vascular Ultrasound",Toronto Vascular Centre,1881 Yonge Street
43.7058659,-79.3895097,Pharmacy,Retail Pharmacy,The Rx Pharmacy,692 Mount Pleasant Road
43.7030287,-79.5746305,Pharmacy,Retail Pharmacy,Sobey's Pharmacy #7271 LTC,124 Belfield Road Unit 2
43.7740901,-79.4451587,Community Health Centre,Satellite,Unison Health And Community Services Bathurst-Finch,540 Finch Avenue West
43.6596115,-79.3469505,Pharmacy,Retail Pharmacy,St. Mary Pharmacy,796 Queen Street East
43.8103936,-79.2575334,Seniors Active Living Centre,,Senior Tamil Centre Of Ontario,"5200 Finch Avenue East, Unit 203"
43.7590118,-79.5188065,Family Health Team,Main,Jane Finch Family Health Team,1 York Gate Boulevard Unit 136A
43.7309899,-79.4320911,Community Support Service,,New Horizons Day Centre Inc,3565 Bathurst Street
43.655257,-79.3931422,Pharmacy,Long Term Care Facility,Mon Sheong Home,36 D'Arcy Street
43.6699984,-79.3810288,Mental Health and Addiction Organization,Mental Health Services,Gerstein Crisis Centre,100 Charles Street East
43.6560001,-79.4093199,Mental Health and Addiction Organization,Mental Health Services,"Barbra Schlifer Commemorative Clinic, The",489 College Street
43.6795996,-79.3578607,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Porphyrin Photobiology Laboratory,855 Broadview Avenue
43.65239,-79.3985506,Pharmacy,Retail Pharmacy,Hui's Pharmacy,Q-280 Spadina Avenue
43.7314828,-79.4639381,Pharmacy,Retail Pharmacy,Nhatrang Drug Mart Inc.,736 Wilson Avenue
43.6423337,-79.4193352,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Youth Wellness Hubs Ontario,1001 Queen Street West
43.6631677,-79.3842147,Pharmacy,Retail Pharmacy,White Cross Drugs,300-500 Yonge Street
43.6499777,-79.3771301,HIV AIDS and Hep C Program,"CBAESP, HR Program",Black Coalition For AIDS Prevention,20 Victoria Street
43.80712,-79.3386978,Pharmacy,Retail Pharmacy,Dom's Pharmacy,3630 Victoria Park Avenue
43.6476217,-79.530018,Seniors Active Living Centre,,Islington Centre Senior Citizens,4968 Dundas Street West
43.70018,-79.4303783,Pharmacy,Retail Pharmacy,Old Park Pharmacy,1042 Eglington Avenue West
43.7708557,-79.2821697,Pharmacy,Retail Pharmacy,Metro Pharmacy #535,16 William Kitchen Boulevard
43.7129467,-79.2852783,Pharmacy,Hospital Outpatient Dispensiary,Providence Pharmacy,3276 St Clair Avenue East
43.7022064,-79.5224433,Pharmacy,Retail Pharmacy,Friendly Care West King Phcy,2077 Weston Road
43.708522,-79.454025,Pharmacy,Retail Pharmacy,Glen Park Pharmacy,2920 Dufferin Street
43.6419087,-79.3835397,Pharmacy,Retail Pharmacy,City Life Pharmacy,35 Lower Simcoe Street
43.661197,-79.3406555,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #823,970 Queen Street East
43.7108489,-79.3796031,Integrated Community Health Services Centre,"Radiography, General Ultrasound",Rr Imaging,586 Eglinton Avenue East
43.7034244,-79.4153368,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #506,550 Eglinton Avenue West
43.7714428,-79.3612166,Pharmacy,Retail Pharmacy,Main Drug Mart,1333 Sheppard Avenue East
43.6574732,-79.3903189,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,Mount Sinai Hospital,600 University Avenue
43.675425,-79.4703412,Pharmacy,Retail Pharmacy,Medbox Rx Pharmacy,101-120 Weston Road
43.6886393,-79.393995,Pharmacy,Retail Pharmacy,Rexall #273,C001-2 St Clair Avenue East
43.6375187,-79.4293178,Pharmacy,Long Term Care Facility,Norwood Nursing Home,122 Tyndall Avenue
43.6521113,-79.3574366,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Anishnawbe Health Toronto,425 Cherry Street
43.6628301,-79.3313149,Pharmacy,Long Term Care Facility,Heritage Nursing Home (The),1195 Queen Street East
43.6575078,-79.4034113,Integrated Community Health Services Centre,Eye Surgery,The Kensington Eye Institute,340 College Street
43.6756363,-79.4300424,Community Support Service,,Hellenic Home For The Aged Inc.,33 Winona Drive
43.6643322,-79.3682183,HIV AIDS and Hep C Program,CBAESP,"Gay Men's Sexual Health Alliance, C/O Ontario AIDS Network",252A Carlton Street
43.6618842,-79.337046,Seniors Active Living Centre,,Woodgreen Community Centre - English Programs,1070 Queen Street East
43.6531285,-79.4057986,Integrated Community Health Services Centre,"Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function C - Escalated Testing, Pulmonary Function - Other Fee Codes",The Toronto Asthma Centre,399 Bathurst Street
43.6643322,-79.3682183,HIV AIDS and Hep C Program,CBAESP,Ontario AIDS Network,252A Carlton Street
43.69822,-79.396351,Pharmacy,Retail Pharmacy,Davisville Pharmacy,4-1901 Yonge Street
43.6790124,-79.3435242,Pharmacy,Retail Pharmacy,Apollon Pharmacy Ltd,705 Danforth Avenue
43.6791518,-79.3422481,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #994,755 Danforth Avenue
43.6524764,-79.398953,Pharmacy,Retail Pharmacy,Vita Pharmacy,2-525 Dundas Street West
43.6626112,-79.3764143,HIV AIDS and Hep C Program,CBAESP,Centre For Spanish-Speaking Peoples,120 Carlton Street
43.6433682,-79.4190332,Pharmacy,Hospital Outpatient Dispensiary,CAMH Pharmacy,1314-100 Stokes Street
43.6381732,-79.4323845,Mental Health and Addiction Organization,Mental Health Services,Cota Health,1330 King Street West
43.6656608,-79.4699362,Pharmacy,Retail Pharmacy,Junction Pharmacy,3016 Dundas Street West
43.6397823,-79.4461627,Community Support Service,,Parkdale Golden Age Foundation,27 Roncesvalles Avenue
43.6613186,-79.3872436,Hospital,Corporation,Women's College Hospital,76 Grenville Street
43.6803766,-79.3451256,Integrated Community Health Services Centre,Radiography,Pape Avenue X-Ray Ltd.,757 Pape Avenue
43.6474669,-79.381176,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #997,66 Wellington Street West
43.6539461,-79.3775207,Pharmacy,Hospital Outpatient Dispensiary,Prescription Care Centre,30 Bond Street
43.6658218,-79.3785429,Seniors Active Living Centre,,St. James Town Seniors Active Living Program,460 Jarvis Street
43.6970906,-79.5014001,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #869,1533 Jane Street
43.666482,-79.4010481,Mental Health and Addiction Organization,Mental Health Services,Sinai Health System,407 Huron Street
43.7108489,-79.3796031,Integrated Community Health Services Centre,Sleep Studies,Toronto Sleep Institute,586 Eglinton Avenue East
43.762183,-79.3514002,Pharmacy,Retail Pharmacy,Duncan Mills Pharmacy,104-240 Duncan Mill Road
43.6897434,-79.2935137,Pharmacy,Retail Pharmacy,Care And Health Pharmacy,2925 Danforth Avenue
43.6633027,-79.3864094,Pharmacy,Retail Pharmacy,Wellmedica Bay Street,901 Bay Street
43.6746218,-79.3909426,Long-Term Care Home,NH non-profit,Belmont House,55 Belmont Street
43.6546345,-79.4588268,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Reconnect Community Health Services,1709 Bloor Street West
43.6229318,-79.4822376,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1421,2206 Lakeshore Boulevard West
43.7076944,-79.3501494,Community Support Service,,East York Meals On Wheels,"2 Thorncliffe Park Drive, Unit 52"
43.6488416,-79.3982613,Mental Health and Addiction Organization,Addiction Services,Ymca Of Greater Toronto,7 Vanauley Street
43.6645078,-79.3802199,Pharmacy,Retail Pharmacy,The Village Pharmacy,473 Church Street
43.8007668,-79.3002226,Community Support Service,,Centre For Information And Community Services Of Ontario,"3852 Finch Avenue East, Suite 310"
43.7217467,-79.376448,Integrated Community Health Services Centre,Ophthalmic Ultrasound,Ophthalmology Associates Shsc,2075 Bayview Avenue
43.7071966,-79.3480216,Pharmacy,Retail Pharmacy,Costco Pharmacy #1316,42 Overlea Boulevard
43.7289536,-79.4398741,Licensed Retirement Home,,Baycrest Terraces,55 Ameer Avenue
43.690827,-79.4729862,Pharmacy,Retail Pharmacy,The Medicine Shoppe,2600 Eglinton Avenue West
43.6574732,-79.3903189,Pharmacy,Hospital Outpatient Dispensiary,Rexall #6940,600 University Avenue
43.7578744,-79.4884887,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,3757 Keele Street
43.6528446,-79.3760744,Family Health Team,Main,Inner City Family Health Team,69 Queen Street East
43.6351301,-79.4323215,Hospital,Site,University Health Network - Bickle Centre,130 Dunn Avenue
43.6577792,-79.384337,Integrated Community Health Services Centre,"General Ultrasound, Vascular Ultrasound",Bay Street Ultrasound,655 Bay Street
43.6583483,-79.3891679,Pharmacy,Hospital Outpatient Dispensiary,Clinic Pharmacy,585 University Avenue 13Nu-Rm1305
43.6676295,-79.3752489,HIV AIDS and Hep C Program,CBAESP,"AIDS Bereavement & Resiliency Program Of Ontario, C/O Fife House",490 Sherbourne Street
43.6705014,-79.311348,Pharmacy,Retail Pharmacy,Woods Drug Store,130 Kingston Road
43.6908208,-79.3941942,Community Support Service,,Yorkminster Park Meals On Wheels,1585 Yonge Street
43.6680455,-79.4845781,Pharmacy,Retail Pharmacy,Wal-Mart Pharmacy,2525 St Clair Avenue West
43.6504779,-79.4313387,Mental Health and Addiction Organization,Mental Health Services,Loft Community Services,661 Dufferin Street
43.6147832,-79.4890599,Pharmacy,Retail Pharmacy,Mimico Pharmacy,2408 Lake Shore Boulevard West
43.7584084,-79.2338257,Pharmacy,Retail Pharmacy,Cedarbrae Pharmacy,5-3340 Lawrence Avenue East
43.6615805,-79.4287589,Pharmacy,Retail Pharmacy,Shoppers Drup Mart #1377,958 Bloor Street West
43.6803009,-79.3371614,Mental Health and Addiction Organization,Addiction Services,Toronto East Health Network,989 Danforth Avenue
43.6706838,-79.4548446,Community Health Centre,Main,Davenport-Perth Neighbourhood And Community Health Centre,1900 Davenport Road
43.714079,-79.37795,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1313,101-1860 Bayview Avenue
43.6893763,-79.3941965,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #939,1507 Yonge Street
43.6397823,-79.4461627,Integrated Community Health Services Centre,"Bone Mineral Dxa, Fluoroscopy, Mammography, Radiography, General Ultrasound",Ontario Diagnostic Centre (ODC) - Roncesvalles,27 Roncesvalles Avenue
43.7440491,-79.3030416,Seniors Active Living Centre,,The Wexford Residence Inc.,1860 Lawrence Avenue East
43.6663348,-79.4512122,Pharmacy,Retail Pharmacy,Symington Drugs,333 Symington Avenue
43.6667556,-79.4044623,Community Support Service,,Volunteer Centre Of Toronto,"344 Bloor Street West, Suite 404"
43.7969649,-79.1516843,Midwifery Clinic,Main,Sages-Femmes Rouge Valley Midwives,91 Rylander Boulevard
43.6582261,-79.3287729,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1255,1015 Lake Shore Boulevard East
43.687189,-79.3967147,Pharmacy,Retail Pharmacy,Deer Park Pharmacy,108-55 St Clair Avenue West
43.6943945,-79.342774,Pharmacy,Retail Pharmacy,Hurst Pharmacy,419 Donlands Avenue
43.6566977,-79.3861713,Mental Health and Addiction Organization,Mental Health Services,Ywca Toronto,87 Elm Street
43.6394598,-79.4501415,Licensed Lab and Specimen Collection Centre,Licensed Hospital Lab Location,St. Joseph's Health Centre,30 The Queensway
43.6556291,-79.3868074,Integrated Community Health Services Centre,"Sleep Studies, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",Toronto Sleep & Pulmonary Centre,123 Edward Street
43.6927069,-79.4405696,Community Health Centre,Satellite,Unison Health And Community Services Oakwood-Vaughan,501 Oakwood Avenue
43.7071813,-79.5042908,Licensed Retirement Home,,Queens Estate Retirement Residence,265 Queens Drive
43.7411752,-79.4353155,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #838,3874 Bathurst Street
43.6826202,-79.4634195,Pharmacy,Retail Pharmacy,Pharmacy Go Caledonia,324 Silverthorn Avenue
43.6395657,-79.4405233,Mental Health and Addiction Organization,Mental Health Services,"Parkdale Activity - Recreation Centre (Parc), The",1499 Queen Street West
43.6676295,-79.3752489,HIV AIDS and Hep C Program,CBAESP,Fife House,490 Sherbourne Street
43.6969404,-79.3958375,Integrated Community Health Services Centre,"Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - Spect",Myhealth Centre,1849 Yonge Street
43.7035722,-79.3523812,Community Support Service,,Rehabilitation Foundation For The Disabled (Ont March Of Dimes) - Tor,10 Overlea Boulevard
43.7896342,-79.4175612,Pharmacy,Retail Pharmacy,Willowdale Pharmacy,6023 Yonge Street
43.7274476,-79.2667297,Pharmacy,Retail Pharmacy,Popular Choice Pharmacy,1A-682 Kennedy Road
43.6732241,-79.4215645,Pharmacy,Long Term Care Facility,Castleview Wychwood Towers,351 Christie Street
43.6536598,-79.3693525,Pharmacy,Retail Pharmacy,Mister Pharmacist,116A Sherbourne Street
43.6706108,-79.3832784,Hospital,Corporation,Salvation Army Toronto Grace Health Centre,650 Church Street
43.7021681,-79.2989125,Seniors Active Living Centre,,Harmony Hall Active Living Centres,2 Gower Street
43.6732467,-79.4709243,Integrated Community Health Services Centre,"Bone Mineral Dxa, Fluoroscopy, Radiography, General Ultrasound",City X-Ray Services,1980 St. Clair Avenue West
43.6920705,-79.4673071,Pharmacy,Retail Pharmacy,Westside Pharmacy,D3-2404 Eglinton Avenue West
43.6497806,-79.3644317,Community Support Service,,New Visions Toronto,"250 The Esplanade, Suite 101, The Mill"
43.6597208,-79.3992275,Mental Health and Addiction Organization,Addiction Services,Centre For Addiction And Mental Health (CAMH),33 Ursula Franklin Street
43.7130587,-79.3661379,Pharmacy,Long Term Care Facility,Suomi-Koti Nursing Home,795 Eglinton Avenue East
43.6559058,-79.3771313,Mental Health and Addiction Organization,Addiction Services,"Society Of St. Vincent De Paul, Toronto Central Council",242 Church Street
43.6779696,-79.3582566,Pharmacy,Retail Pharmacy,Rexall #6942,807 Broadview Avenue
43.6535662,-79.372766,Community Support Service,,Fred Victor Centre,"145 Queen Street, East,"
43.746597,-79.5331718,Seniors Active Living Centre,,Lumacare - Main Office And Campus Of Care,155 Deerhide Crescent
43.6661302,-79.3683318,Pharmacy,Retail Pharmacy,Rexall #6979,539 Parliament Street
43.6592042,-79.4529665,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #717,2440 Dundas Street West
43.6615052,-79.3871179,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,Women's College Hospital,76 Grenville Street
43.6901507,-79.32676,Community Support Service,,Community Care East York Inc.,840 Cowell Avenue
43.6978132,-79.4392331,Pharmacy,Retail Pharmacy,Drug Centre Discount Pharmacy,1473 Eglinton Avenue West
43.6816499,-79.4184313,Indigenous Primary Health Care Organization,Site,Auduzhe Mino Wesewinong,22 Vaughan Road
43.680267,-79.3372891,Mental Health and Addiction Organization,Addiction Services,Toronto East Health Network,985 Danforth Avenue
43.6563094,-79.4035579,HIV AIDS and Hep C Program,CBAESP,Neighbourhood Group Community Services,91 Bellevue Avenue
43.6520644,-79.378963,Pharmacy,Retail Pharmacy,Yonge Pharmacy,159 Yonge Street
43.7348029,-79.5589236,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #954,1-900 Albion Road
43.7115105,-79.2836471,Hospital,Corporation,Unity Health Toronto - Providence,3276 St. Clair Avenue East
43.6573296,-79.4044654,Pharmacy,Retail Pharmacy,Augusta Central Pharmacy,360 College Street
43.6524052,-79.4711537,Licensed Retirement Home,,Chartwell Grenadier Retirement Residence,2100 Bloor Street West
43.6487002,-79.4162405,Mental Health and Addiction Organization,Mental Health Services,Loft Community Services,227 Crawford Street
43.6478686,-79.5605538,Community Support Service,,Nucleus Independent Living Inc.,11216 Four Seasons Place
43.7811823,-79.4174542,Community Support Service,,North York Seniors Centre,21 Hendon Avenue
43.6578034,-79.3918215,Family Health Team,Main,Mount Sinai Academic Family Health Team,60 Murray Street
43.6627314,-79.5319595,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1341,1500 Islington Avenue
43.6661733,-79.3734801,Pharmacy,Long Term Care Facility,Fudger House,439 Sherbourne Street
43.6751039,-79.3573327,Seniors Active Living Centre,,Woodgreen Community Centre - Chinese Programs,721 Broadview Avenue
43.6838943,-79.3221881,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #500,1630 Danforth Avenue
43.6494529,-79.4211578,Seniors Active Living Centre,,West Neighbourhood House - Parkdale,248 Ossington Avenue
43.6775654,-79.3027076,Seniors Active Living Centre,,Woodgreen Communtiy Centre (Community Care East York) Epc,"500 Kingston Road, Lower Level"
43.6570871,-79.387731,HIV AIDS and Hep C Program,HIV Clinical Services,"Hospital For Sick Children, Id2 Clinic",555 University Avenue
43.6678432,-79.3432418,Pharmacy,Retail Pharmacy,Medi Choice Pharmacy,842 Gerrard Street East Unit 2
43.674105,-79.4594171,Pharmacy,Retail Pharmacy,Green Medical Pharmacy,1705 St Clair Avenue West
43.6592104,-79.3723479,Mental Health and Addiction Organization,Addiction Services And Mental Health Services,"Street Haven At The Crossroads, The",87 Pembroke Street
43.7347062,-79.3804293,Seniors Active Living Centre,,The Ontario Community Centre For The Deaf,2395 Bayview Avenue
43.6528277,-79.3762371,Family Health Team,Main,St. Michael's Hospital Academic Family Health Team,61 Queen Street East
43.6650389,-79.3878256,Pharmacy,Retail Pharmacy,Sanomed Pharm&Compounding Cent,1000 Bay Street
43.65441,-79.3807152,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #824,220 Yonge Street
43.6552973,-79.3790199,Integrated Community Health Services Centre,Sleep Studies,Youthdale Child And Adolescent Sleep Centre,227 Victoria Street
43.6709067,-79.3852209,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #807,20 Bloor Street East
43.7254052,-79.4308505,Pharmacy,Retail Pharmacy,Premier Phrm &Compound Ctr Ltd,3323 Bathurst Street
43.6844684,-79.3172847,Pharmacy,Retail Pharmacy,Danforth Drug Mart,1871 Danforth Avenue
43.7100888,-79.3988402,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Dynacare,2401 Yonge Street
43.6424549,-79.3967498,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #6035,Lg12-486 Front Street West
43.6654925,-79.4116835,Pharmacy,Retail Pharmacy,Bathurst-Bloor IDA Drug Mart,800 Bathurst Street
43.7832938,-79.1634479,Long-Term Care Home,NH non-profit,Tony Stacey Centre for Veterans' Care,59 Lawson Road
43.6604918,-79.5116242,Community Support Service,,The Canadian Red Cross Society-Community Health Division - Toronto,4210 Dundas Street West
43.6543599,-79.4514867,Pharmacy,Retail Pharmacy,Datu's Pharmacy,2238 Dundas Street West
43.6553415,-79.4584198,Community Health Centre,Main,Communiticare Health 1700 Bloor,1700 Bloor Street West
43.680164,-79.4321463,Pharmacy,Retail Pharmacy,St Clair Village Pharmacy,843 St Clair Avenue West
43.6604447,-79.3689637,Community Support Service,,The Neighbourhood Group Community Service,349 Ontario Street
43.6617662,-79.3671463,Pharmacy,Retail Pharmacy,Parliament Pharmacy,402 Parliament Street
43.7390367,-79.2157341,Community Support Service,,Scarborough Centre For Healthy Communities,3545 Kingston Road
43.6629728,-79.3320917,Pharmacy,Retail Pharmacy,Leslie Grove Pharmacy,1176 Queen Street East
43.6673297,-79.3770693,Community Support Service,,Perram House,4 Wellesley Place
43.676616,-79.4422114,Pharmacy,Retail Pharmacy,Public Pharmacy,1615 Dufferin Street
43.655588,-79.3741627,Community Support Service,,The Good Neighbours' Club,"170 Jarvis Street,"
43.8024302,-79.2938886,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Eglinton Diagnostic Laboratories Limited,4040 Finch Avenue East
43.7012843,-79.5194968,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #876,1995 Weston Road
43.7952857,-79.3200995,Pharmacy,Retail Pharmacy,Main Drug Mart,3245 Finch Avenue East
43.6368982,-79.4389805,Licensed Retirement Home,,Dowling Rest Home,124 Dowling Avenue
43.6589951,-79.4403533,Pharmacy,Retail Pharmacy,Ultra-Bloor Phamacy,1254 Bloor Street
43.7080055,-79.3940193,Integrated Community Health Services Centre,"Radiography, General Ultrasound",Metro Radiology (Glencairn),150 Eglinton Avenue East
43.7214696,-79.3789603,Hospital,Corporation,Sunnybrook Health Sciences Centre - Bayview Campus,2075 Bayview Avenue
43.6515962,-79.4346721,Licensed Retirement Home,,Bill Mcmurray Residence,180 Sheridan Avenue
43.654657,-79.3645446,HIV AIDS and Hep C Program,CBAESP,Caat-Community Alliance For Accessible Treatment,526 Richmond Street East
43.6401909,-79.4473042,Long-Term Care Home,NH non-profit,Copernicus Lodge,66 Roncesvalles Avenue
43.7381787,-79.2397255,Licensed Retirement Home,,Mccowan Retirement Residence,2881 Eglinton Avenue East
43.648882,-79.3808692,Pharmacy,Retail Pharmacy,Rexall #943,Cn1038-1 First Canadian Place
43.6822674,-79.4184096,Pharmacy,Retail Pharmacy,Rxcrew Pharmacy,110A-1440 Bathurst Street
43.7774254,-79.4155677,Pharmacy,Retail Pharmacy,Dynasty Pharmacy,106-5460 Yonge Street
43.7590704,-79.3572046,Pharmacy,Retail Pharmacy,Medisystem Phamracy 6011,75 Lesmill Road
43.6815979,-79.3307089,Mental Health and Addiction Organization,Mental Health Services,East York Mental Health Counselling Services Agency,1245 Danforth Avenue
43.6585248,-79.3705082,Mental Health and Addiction Organization,Mental Health Services,Homes First Society,319 Dundas Street East
43.6868651,-79.6214472,Pharmacy,Retail Pharmacy,Drugsmart Pharmacy #006,6301 Silver Dart Drive
43.6776195,-79.4434518,Pharmacy,Retail Pharmacy,Bio Pharmacy,1177 St Clair Avenue West
43.6826052,-79.3236233,Licensed Lab and Specimen Collection Centre,Licensed Specimen Collection Centre Location,Lifelabs,688 Coxwell Avenue
43.6505286,-79.3656041,Community Support Service,,Ontario Federation Of Indian Friendship Centres,219 Front Street
43.6612772,-79.3868111,Family Health Team,Main,Women's College Academic Family Health Team,77 Grenville Street
43.777997,-79.4434684,Licensed Retirement Home,,One Kenton Place,1-3 Kenton Road
43.7075288,-79.376235,Integrated Community Health Services Centre,Abortion,The Morgentaler Clinic,727 Hillsdale Avenue East
43.6806229,-79.2876051,Pharmacy,Retail Pharmacy,Upper Beaches Pharmacy,102-952 Kingston Road
43.6828996,-79.3342303,Community Support Service,,Toronto Intergenerational Partnerships In Community,C/O Danforth Collegiate And Tech. Ins.
43.6895791,-79.2961173,Seniors Active Living Centre,,The Neighbourhood Group - Community Link Seniors Active Living Centre,2802 Danforth Avenue
43.6639722,-79.3674519,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #853,467 Parliament Street
43.646102,-79.3925287,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1320,388 King Street West
43.7017179,-79.4536186,Mental Health and Addiction Organization,Mental Health Services,Canadian Mental Health Association (Cmha) Toronto Branch,2700 Dufferin Street
43.7009922,-79.4244629,Pharmacy,Retail Pharmacy,Srx Pharmacy,801 Eglinton Avenue West
43.7354097,-79.3480104,Pharmacy,Retail Pharmacy,Healing Arts Pharmacy,113-170 The Donway West
43.7197496,-79.5096254,Pharmacy,Retail Pharmacy,Drugstore Phcy #4327,1591 Wilson Avenue
43.7178394,-79.372683,Hospital,Corporation,Holland Bloorview Kids Rehabilitation Hospital,150 Kilgour Road
43.6488049,-79.4191497,Pharmacy,Long Term Care Facility,Maynard Nursing Home,28 Halton Street
43.654244,-79.3927996,Mental Health and Addiction Organization,Addiction Services,Loft Community Services,344 Dundas Street West
43.6213538,-79.5263981,Pharmacy,Retail Pharmacy,Get Well Pharmacy,4-1278 The Queensway
43.705817,-79.442168,Pharmacy,Retail Pharmacy,Rexall #6948,Unit B-249 Mariee Avenue
43.6687666,-79.3945028,Mental Health and Addiction Organization,Addiction Services,Loft Community Services,170 Bloor Street West
43.6772005,-79.4077814,Community Support Service,,The Canadian Hearing Society,271 Spadina Road
43.65636,-79.4093602,Integrated Community Health Services Centre,"Bone Mineral Dxa, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",College Diagnostic Imaging,474 College Street
43.7130587,-79.3661379,Seniors Active Living Centre,,Toronto Finnish Canadian Seniors Centre-Suomi Koti,"795 Eglinton Avenue East, Suite 101"
43.7180588,-79.3308251,Pharmacy,Retail Pharmacy,Allcures Pharmacy,1-31 St Dennis Drive
43.6394598,-79.4501415,Family Health Team,Main,St. Joseph's Urban Family Health Team,30 The Queensway
43.6732467,-79.4709243,Pharmacy,Retail Pharmacy,Medione Stockyards Pharmacy,1980 St Clair Avenue West
43.6982606,-79.4702663,Licensed Retirement Home,,Harold And Grace Baker Centre,1 Northwestern Avenue
43.6666273,-79.3761304,Pharmacy,Retail Pharmacy,Homewood Pharmacy,2-152 Wellesley Street East
43.6893766,-79.506978,Long-Term Care Home,NH non-profit,West Park Long Term Care Centre,150 Emmett Avenue
43.7062203,-79.4251444,Licensed Retirement Home,,Forest Hill Place,645 Castlefield Avenue
43.6669751,-79.3536367,Family Health Team,Main,Bridgepoint Family Health Team,430 Broadview Avenue
43.761163,-79.468023,Pharmacy,Retail Pharmacy,York Downs Chemists,1-1450 Lodestar Road
43.6542616,-79.3932123,Mental Health and Addiction Organization,Addiction Services,Renascent,356 Dundas Street West
43.6957574,-79.2986266,Pharmacy,Long Term Care Facility,True Davidson Acres,200 Dawes Road
43.6558613,-79.4527464,Pharmacy,Retail Pharmacy,Bloor Dundas Pharmacy,2333 Dundas Street West
43.6958175,-79.4509279,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1214,1840 Eglinton Avenue West
43.6585044,-79.3657758,Mental Health and Addiction Organization,Mental Health Services,Sound Times Support Services,280 Parliament Street
43.6606019,-79.4328153,Pharmacy,Retail Pharmacy,Bloor Medical Pharmacy,1062 Bloor Street West
43.6598213,-79.3634553,Integrated Community Health Services Centre,Midwifery,Toronto Birth Centre,525 Dundas Street East
43.6830371,-79.3257384,Pharmacy,Retail Pharmacy,Heritage Pharmacy,1488 Danforth Avenue
43.6994825,-79.3931584,Community Support Service,,The Governing Council Of The Salv Army In Cda(Meighen Retirement Res.),"84 Davisville Avenue,"
43.7372436,-79.3459362,Pharmacy,Retail Pharmacy,Shoppers Drug Mart #1330,946 Lawrence Avenue East
43.7070078,-79.4046021,Seniors Active Living Centre,,Second Mile Club - Orchard View Recreation Centre,174 Orchard View Boulevard
